id,word,language,form,type,category,lexical_category,lexical_class,uni_lemma,aoa_in_seconds,aoa
327,stroller,English (American),WS,word,vehicles,nouns,nouns,stroller,65059200,753
328,present,English (American),WS,word,toys,nouns,nouns,present,65059200,753
329,potato,English (American),WS,word,food_drink,nouns,nouns,potato,65059200,753
330,motorcycle,English (American),WS,word,vehicles,nouns,nouns,motorcycle,65145600,754
331,lips,English (American),WS,word,body_parts,nouns,nouns,lips,65145600,754
332,bedroom,English (American),WS,word,furniture_rooms,nouns,nouns,bedroom,65145600,754
333,give me five!,English (American),WS,word,games_routines,other,other,give me five,65232000,755
334,little (description),English (American),WS,word,descriptive_words,predicates,adjectives,little (description),65232000,755
335,applesauce,English (American),WS,word,food_drink,nouns,nouns,applesauce,65318400,756
336,basket,English (American),WS,word,household,nouns,nouns,basket,65318400,756
337,nice,English (American),WS,word,descriptive_words,predicates,adjectives,nice,65318400,756
338,sink,English (American),WS,word,furniture_rooms,nouns,nouns,sink,65404800,757
339,man,English (American),WS,word,people,other,other,man,65404800,757
340,hide,English (American),WS,word,action_words,predicates,verbs,hide,65404800,757
341,alligator,English (American),WS,word,animals,nouns,nouns,alligator,65491200,758
342,dress (object),English (American),WS,word,clothing,nouns,nouns,dress (object),65491200,758
343,cloud,English (American),WS,word,outside,nouns,nouns,cloud,65491200,758
344,catch,English (American),WS,word,action_words,predicates,verbs,catch,65491200,758
345,where,English (American),WS,word,question_words,function_words,function_words,where (question),65491200,758
346,tractor,English (American),WS,word,vehicles,nouns,nouns,tractor,65577600,759
347,pattycake,English (American),WS,word,games_routines,other,other,pattycake,65577600,759
348,carry,English (American),WS,word,action_words,predicates,verbs,carry,65577600,759
349,splash,English (American),WS,word,action_words,predicates,verbs,splash,65577600,759
350,camera,English (American),WS,word,household,nouns,nouns,camera,65664000,760
351,draw,English (American),WS,word,action_words,predicates,verbs,draw,65664000,760
352,there,English (American),WS,word,locations,function_words,function_words,there,65664000,760
353,pumpkin,English (American),WS,word,food_drink,nouns,nouns,pumpkin,65750400,761
354,street,English (American),WS,word,outside,nouns,nouns,street,65750400,761
355,sleepy,English (American),WS,word,descriptive_words,predicates,adjectives,sleepy,65750400,761
356,glass,English (American),WS,word,household,nouns,nouns,glass,65836800,762
357,find,English (American),WS,word,action_words,predicates,verbs,find,65923200,763
358,now,English (American),WS,word,time_words,other,other,now,65923200,763
359,popsicle,English (American),WS,word,food_drink,nouns,nouns,popsicle,66009600,764
360,necklace,English (American),WS,word,clothing,nouns,nouns,necklace,66096000,765
361,climb,English (American),WS,word,action_words,predicates,verbs,climb,66096000,765
362,knock,English (American),WS,word,action_words,predicates,verbs,knock,66096000,765
363,crib,English (American),WS,word,furniture_rooms,nouns,nouns,crib,66182400,766
364,refrigerator,English (American),WS,word,furniture_rooms,nouns,nouns,refrigerator,66182400,766
365,scissors,English (American),WS,word,household,nouns,nouns,scissors,66268800,767
366,zoo,English (American),WS,word,places,other,other,zoo,66268800,767
367,give,English (American),WS,word,action_words,predicates,verbs,give,66268800,767
368,stuck,English (American),WS,word,descriptive_words,predicates,adjectives,stuck,66268800,767
369,high chair,English (American),WS,word,furniture_rooms,nouns,nouns,high chair,66355200,768
370,aunt,English (American),WS,word,people,other,other,aunt,66355200,768
371,wipe,English (American),WS,word,action_words,predicates,verbs,wipe,66355200,768
372,fast,English (American),WS,word,descriptive_words,predicates,adjectives,fast,66441600,769
373,tired,English (American),WS,word,descriptive_words,predicates,adjectives,tired,66441600,769
374,hammer,English (American),WS,word,household,nouns,nouns,hammer,66528000,770
375,like,English (American),WS,word,action_words,predicates,verbs,like (action),66528000,770
376,watch (action),English (American),WS,word,action_words,predicates,verbs,watch (action),66528000,770
377,dark,English (American),WS,word,descriptive_words,predicates,adjectives,dark,66528000,770
378,shovel,English (American),WS,word,outside,nouns,nouns,shovel,66614400,771
379,shopping,English (American),WS,word,games_routines,other,other,shopping,66614400,771
380,thirsty,English (American),WS,word,descriptive_words,predicates,adjectives,thirsty,66614400,771
381,bat,English (American),WS,word,toys,nouns,nouns,bat,66700800,772
382,drop,English (American),WS,word,action_words,predicates,verbs,drop,66700800,772
