"age_in_days","p_art"
753,0.812898253750799
754,0.813188441045949
755,0.813533344938913
756,0.813934617589928
757,0.814219997742076
758,0.814561782113548
759,0.814962197084876
760,0.815242508674554
761,0.815519695490686
762,0.815794022708092
763,0.8160658017203
764,0.81633539200186
765,0.816603149818476
766,0.816869249165682
767,0.817202263104294
768,0.81760337522502
769,0.817867659362463
770,0.818200153079965
771,0.818601797203245
772,0.819003395303055
773,0.819266819085057
774,0.819529223964574
775,0.819790473011143
776,0.820121970033044
777,0.820453216633477
778,0.820784143534617
779,0.821186849401147
780,0.821589665223113
781,0.821992791765504
782,0.822252068384602
783,0.822510182029631
784,0.822767776707878
785,0.823025279868285
786,0.823283077443274
787,0.823615470691643
788,0.823948536982384
789,0.824208659460461
790,0.824543266782166
791,0.824805127590773
792,0.825067819094598
793,0.825404738690248
794,0.825815808229687
795,0.826154222981644
796,0.826419801475807
797,0.82668626956924
798,0.826954238481512
799,0.827224399381245
800,0.82764075208849
801,0.828058351832227
802,0.828405007170708
803,0.828682085026547
804,0.828962863937378
805,0.829315899277117
806,0.829670865827593
807,0.829961468005721
808,0.830386752095013
809,0.830813166511466
810,0.831240342762759
811,0.831538553746925
812,0.831842067420395
813,0.83215079778387
814,0.83258031268212
815,0.833009435015573
816,0.833437547749136
817,0.833864041205956
818,0.834179755957551
819,0.834500152873721
820,0.834825213076345
821,0.835202481369406
822,0.835580268534443
823,0.835958428231929
824,0.836336910679269
825,0.83675523878202
826,0.837168868510975
827,0.837508020355377
828,0.837852423032783
829,0.838260139124183
830,0.83863577945623
831,0.838987903417426
832,0.83934555288189
833,0.839708637321837
834,0.84007700222707
835,0.840472404435722
836,0.840860875571858
837,0.841242095749399
838,0.84161402952991
839,0.841984535335941
840,0.842348984782916
841,0.842705338789464
842,0.84305341912198
843,0.843393116894517
844,0.843724389430596
845,0.844047255648253
846,0.844361788324361
847,0.844668083986961
848,0.844996107296078
849,0.845354802259984
850,0.84571696549655
851,0.846082220091258
852,0.846450119678678
853,0.846820153266348
854,0.847100057032925
855,0.847420315055419
856,0.847685932293688
857,0.84805086525483
858,0.848361098395346
859,0.848608700482532
860,0.848846998380734
861,0.849075896480691
862,0.849295421695075
863,0.849505703116659
864,0.849780963480898
865,0.850129133408424
866,0.850320645841661
867,0.850503518442082
868,0.85084602569452
869,0.851103344525483
870,0.851357021811412
871,0.851698470308637
872,0.851946885515711
873,0.852095267156245
874,0.852333429594228
875,0.852667790793765
876,0.8527973673681
877,0.852918910731596
878,0.853032795414385
879,0.853246522401082
880,0.853347447257792
881,0.853441594887216
882,0.853529345370117
883,0.853611120944087
884,0.853687371392298
885,0.85375856240223
886,0.853937504522129
887,0.853999846748526
888,0.854058292242209
889,0.854338547975804
890,0.854616640520136
891,0.854777319193728
892,0.855049361446658
893,0.855087653093634
894,0.855122938699393
895,0.855155381475405
896,0.855185197311342
897,0.855212644916408
898,0.855238012145514
899,0.85537102159899
900,0.855610172933022
901,0.855845179418373
902,0.855857810527988
903,0.855869124667997
904,0.855985107192446
905,0.855992892515855
906,0.856000099909386
907,0.856007082555272
908,0.856113449098289
909,0.856118872853162
910,0.856124727900357
911,0.856131142761958
912,0.856138262053528
913,0.856146240786642
914,0.856242687779725
915,0.856336468826656
916,0.856512285669759
917,0.85659909526618
918,0.856683301749009
919,0.85684488115519
920,0.856844050664598
921,0.856920663070578
922,0.85706936748185
923,0.85706662041322
924,0.85706568337931
925,0.857066669375137
926,0.857069707099418
927,0.857074931125575
928,0.857082447659892
929,0.857092265008037
930,0.857104385970491
931,0.857118828477789
932,0.857239343932001
933,0.85735466639286
934,0.857367181956692
935,0.85747532579403
936,0.857488352285894
937,0.857503962412951
938,0.857603137960734
939,0.857619409128673
940,0.857638281337481
941,0.857659764281636
942,0.85768387570253
943,0.857710635025608
944,0.85774005840625
945,0.857772155486789
946,0.857806927002619
947,0.857844362992704
948,0.857884441276467
949,0.857927127697862
950,0.858004044178125
951,0.858062137130532
952,0.858106696641552
953,0.85815368122099
954,0.858202971011313
955,0.858254453206518
956,0.858308019360368
957,0.858367647655713
958,0.858426161490838
959,0.858482460343397
960,0.858539877481851
961,0.858596810776709
962,0.858655232172678
963,0.858714959773376
964,0.858775835523735
965,0.858837721990834
966,0.85890049932141
967,0.858964062330556
968,0.859028317536873
969,0.859093181323325
970,0.859158578965968
971,0.859213479094721
972,0.859254555609361
973,0.85929154627321
974,0.859355208063685
975,0.859387008203823
976,0.859432494698292
977,0.859495164335569
978,0.859558044952124
979,0.859621116751756
980,0.859684363193712
981,0.859747769942276
982,0.859811324038637
983,0.859875013146675
984,0.859938824874121
985,0.860002747334114
986,0.860066769090016
987,0.860130878519958
988,0.8601950641804
989,0.860259313998582
990,0.860323614903027
991,0.860362054840703
992,0.860425940375077
993,0.860489771124802
994,0.860553431610061
995,0.860616784635093
996,0.860679715607512
997,0.860742132073722
998,0.860803960449445
999,0.860865143473237
1000,0.860925638162805
1001,0.860985413856136
1002,0.861044450511872
1003,0.861102737219235
1004,0.861160270872966
1005,0.861217055052039
1006,0.861273099138834
1007,0.861299007234489
1008,0.861292156837111
1009,0.861313765962555
1010,0.861366506753504
1011,0.861418350382911
1012,0.861469209272879
1013,0.861519020300945
1014,0.861567742148062
1015,0.861615352638165
1016,0.861661845431234
1017,0.861707227875079
1018,0.861751519469564
1019,0.86179475013078
1020,0.86183695856293
1021,0.861878190872217
1022,0.861918499099439
1023,0.861957939977817
1024,0.861996574151411
1025,0.862034465929831
1026,0.862071680288079
1027,0.862108265088397
1028,0.862144255814046
1029,0.862179694272115
1030,0.862214627789413
1031,0.862249107502188
1032,0.862283187894809
1033,0.862283786581066
1034,0.862248154030204
1035,0.862280641145081
1036,0.862312954259657
1037,0.86234520768617
1038,0.862377508206985
1039,0.862335018886818
1040,0.862327945294672
1041,0.862359551407245
1042,0.862391430953428
1043,0.862423647037885
1044,0.862372913467023
1045,0.862361873704835
1046,0.862393952060318
1047,0.862426473456537
1048,0.862459450583419
1049,0.862492901905851
1050,0.862526850146824
1051,0.862561321410295
1052,0.862596344274781
1053,0.862631948931964
1054,0.862668166442503
1055,0.862705028099975
1056,0.862742565266549
1057,0.862780810041463
1058,0.862819793703096
1059,0.862859546021054
1060,0.862849658597402
1061,0.862890567629517
1062,0.862932286215681
1063,0.862974806989738
1064,0.863018127456535
1065,0.86295535486325
1066,0.862944781001036
1067,0.862989387345434
1068,0.86303480796239
1069,0.86308103756943
1070,0.863128076511712
1071,0.863175930129233
1072,0.863224607144512
1073,0.863274118704276
1074,0.863324477736238
1075,0.863375698358306
1076,0.86342779529827
1077,0.863480783549021
1078,0.863534677921612
1079,0.863589492910188
1080,0.863645242508996
1081,0.86370194002655
1082,0.86375959794022
1083,0.863818227701075
1084,0.86387783940309
1085,0.8639384419931
1086,0.864000043327356
1087,0.864062650161325
1088,0.864126268155691
1089,0.864190901895818
1090,0.864256554922108
1091,0.864323229689656
1092,0.864390927385083
1093,0.864459648238102
1094,0.864529391632346
1095,0.864600156047232
1096,0.864671938867296
1097,0.864744736725008
1098,0.864818545649702
1099,0.864893361252406
1100,0.86496917915986
1101,0.865045994671364
1102,0.865123802654658
1103,0.865202597520419
1104,0.865282373344673
1105,0.865363123912185
1106,0.865444842683058
1107,0.865527522906778
1108,0.865611157682207
1109,0.865695740036498
1110,0.865781263030749
1111,0.865867719460226
1112,0.865955102022079
1113,0.866043403400339
1114,0.866132616286253
1115,0.866222733396582
1116,0.86631374748999
1117,0.866405651381649
1118,0.86649843795618
1119,0.866592100179052
1120,0.866686631106534
1121,0.866782023894348
1122,0.866878271805078
1123,0.866975368214481
1124,0.867073306574499
1125,0.867172080292458
1126,0.867271682864328
1127,0.867372107882984
1128,0.867473348930326
1129,0.867575399663884
1130,0.867678253680776
1131,0.867781904340785
1132,0.867886345009679
1133,0.867991568970782
1134,0.868097569608612
1135,0.868204340468273
1136,0.868311875253763
1137,0.868420167826073
1138,0.86852921220104
1139,0.868639002547049
1140,0.86874953318257
1141,0.868860798573569
1142,0.868972793330819
1143,0.86908551220711
1144,0.869198950135451
1145,0.86931310234762
1146,0.869427964245249
1147,0.869543531355427
1148,0.869659799211769
1149,0.869776763007863
1150,0.869894417924295
1151,0.870012759166765
1152,0.870131782041688
1153,0.870251481979127
1154,0.870371854617344
1155,0.870492896058993
1156,0.87061460260002
1157,0.870736970638611
1158,0.870859996672495
1159,0.870983677296295
1160,0.87110800915619
1161,0.871232988820629
1162,0.871358612908861
1163,0.871484878131614
1164,0.871611781288729
1165,0.871739319266823
1166,0.871867489037019
1167,0.871996287652731
1168,0.872125712247513
1169,0.872255760032958
1170,0.872386428296642
1171,0.872517714400163
1172,0.872649615777184
1173,0.872782129931568
1174,0.8729152544647
1175,0.873048987160119
1176,0.873183325892504
1177,0.873318268596591
1178,0.873453813241433
1179,0.873589957716635
1180,0.873726699784095
1181,0.8738640372567
1182,0.874001968131224
1183,0.874140490490533
1184,0.87427960247045
1185,0.87441930225845
1186,0.874559588092391
1187,0.874700458259274
1188,0.874841911094059
1189,0.87498394497851
1190,0.875126558340069
1191,0.875269749650778
1192,0.875413517373131
1193,0.875557859801481
1194,0.875702775223343
1195,0.875848261971955
1196,0.8759943185433
1197,0.876140943945333
1198,0.876288137336549
1199,0.876435897906229
1200,0.876584224873658
1201,0.876733117487345
1202,0.87688257502428
1203,0.877032596789223
1204,0.877183182055563
1205,0.877334329891116
1206,0.877486039335885
1207,0.877638309460294
1208,0.877791139364568
1209,0.877944528178131
1210,0.878098475059015
1211,0.878252979193298
1212,0.878408039794556
1213,0.878563656103336
1214,0.878719827382538
1215,0.878876552904724
1216,0.879033832060901
1217,0.879191664651723
1218,0.879350050575807
1219,0.879508989683991
1220,0.879668481827982
1221,0.879828526920701
1222,0.879989125068249
1223,0.880150276433832
1224,0.88031198119256
1225,0.880474239531113
1226,0.88063705164742
1227,0.880800417750332
1228,0.880964338059336
1229,0.881128812804242
1230,0.881293842224922
1231,0.881459426536315
1232,0.881625565824914
1233,0.881792260154119
1234,0.881959509598905
1235,0.882127314245587
1236,0.882295674191591
1237,0.882464589545205
1238,0.882634060425393
1239,0.882804087026622
1240,0.882974669812341
1241,0.883145809278836
1242,0.883317505775917
1243,0.88348975962276
1244,0.883662571146108
1245,0.883835940759773
1246,0.88400986920176
1247,0.88418435729212
1248,0.884359405852712
1249,0.884535015707059
1250,0.884711187680221
1251,0.884887922598652
1252,0.885065221290092
1253,0.88524308458343
1254,0.885421513308614
1255,0.885600508296515
1256,0.885780070378836
1257,0.885960200388017
1258,0.886140899157125
1259,0.886322167519766
1260,0.886504006310001
1261,0.886686416362253
1262,0.886869398511228
1263,0.887052953591838
1264,0.88723708243912
1265,0.887421785888168
1266,0.88760706477406
1267,0.887792919920787
1268,0.887979352108343
1269,0.888166362105954
1270,0.888353950683062
1271,0.888542118609264
1272,0.888730866654253
1273,0.88892019558777
1274,0.88911010617954
1275,0.889300599199226
1276,0.889491675416383
1277,0.889683335600407
1278,0.889875580520485
1279,0.890068410924678
1280,0.890261827477486
1281,0.890455830822849
1282,0.890650421603152
1283,0.890845600453532
1284,0.891041368007554
1285,0.891237724899059
1286,0.891434671762144
1287,0.891632209231115
1288,0.891830337940456
1289,0.892029058524793
1290,0.892228371618868
1291,0.892428277857499
1292,0.892628777875558
1293,0.892829872307937
1294,0.893031561789523
1295,0.893233846955162
1296,0.893436728439651
1297,0.893640206877685
1298,0.893844282903862
1299,0.894048957152633
1300,0.894254230258294
1301,0.894460102854959
1302,0.894666575576536
1303,0.89487364899548
1304,0.895081323439373
1305,0.895289599306078
1306,0.895498477517648
1307,0.895707959126369
1308,0.895918045183565
1309,0.896128736739575
1310,0.896340034843726
1311,0.896551940544295
1312,0.896764454888483
1313,0.896977578922391
1314,0.89719131369099
1315,0.897405660238086
1316,0.897620619606305
1317,0.897836192837055
1318,0.898052380970505
1319,0.898269185045558
1320,0.898486606099819
1321,0.898704645169576
1322,0.898923303289768
1323,0.899142581493966
1324,0.899362480814336
1325,0.899583002281625
1326,0.899804146925128
1327,0.900025915772664
1328,0.900248309850549
1329,0.900471330183575
1330,0.900694977794978
1331,0.90091925370642
1332,0.901144158937954
1333,0.901369694508008
1334,0.901595861433349
1335,0.901822660699533
1336,0.902050093172162
1337,0.902278159685309
1338,0.902506861018945
1339,0.902736197742491
1340,0.90296617037064
1341,0.903196779415356
1342,0.90342802538588
1343,0.903659908788713
1344,0.903892430127607
1345,0.904125589903561
1346,0.904359388614817
1347,0.904593826756845
1348,0.904828904822338
1349,0.905064623301206
1350,0.905300982680571
1351,0.905537983444754
1352,0.905775626075274
1353,0.906013911050836
1354,0.906252838847327
1355,0.906492409937811
1356,0.906732624792516
1357,0.906973483878835
1358,0.907214987661314
1359,0.907457136601651
1360,0.90769993115868
1361,0.907943371788375
1362,0.90818745894384
1363,0.908432193075301
1364,0.908677574630102
1365,0.9089236040527
1366,0.909170281673932
1367,0.909417607377867
1368,0.909665580932285
1369,0.909914202099186
1370,0.910163470634805
1371,0.910413386289645
1372,0.910663948808502
1373,0.910915157930492
1374,0.911167013389072
1375,0.911419514912074
1376,0.911672662221724
1377,0.911926455034675
1378,0.912180893062029
1379,0.912435976009365
1380,0.91269170357677
1381,0.912948075458859
1382,0.913205091344813
1383,0.91346275091839
1384,0.913721053857974
1385,0.913979999836588
1386,0.91423958852192
1387,0.914499819576367
1388,0.914760692657047
1389,0.91502220741584
1390,0.915284363499406
1391,0.915547160549223
1392,0.915810598201607
1393,0.916074676087756
1394,0.916339393833762
1395,0.916604751060655
1396,0.91687074738442
1397,0.917137382416041
1398,0.917404655761521
1399,0.917672567021914
1400,0.917941115784711
1401,0.918210301597878
1402,0.918480123995768
1403,0.918750582507781
1404,0.919021676658409
1405,0.919293405967262
1406,0.9195657699491
1407,0.919838768113873
1408,0.920112399966743
1409,0.920386665008129
1410,0.920661562733733
1411,0.920937092634576
1412,0.921213254197032
1413,0.92149004690286
1414,0.921767470459095
1415,0.92204552549099
1416,0.922324212858233
1417,0.922603533425886
1418,0.922883488064356
1419,0.92316407764935
1420,0.923445303061837
1421,0.923727165188032
1422,0.924009664914806
1423,0.924292803116155
1424,0.924576580666754
1425,0.924860998446468
1426,0.925146057340307
1427,0.925431758238396
1428,0.925718102035942
1429,0.9260050895446
1430,0.926292721225435
1431,0.926580997452608
1432,0.926869918601681
1433,0.927159485049586
1434,0.927449697174641
1435,0.927740555356535
1436,0.928032059976311
1437,0.92832421141637
1438,0.928617010060466
1439,0.928910456293686
1440,0.929204550502452
1441,0.92949929307452
1442,0.929794684398955
1443,0.930090724866147
1444,0.930387414867785
1445,0.930684754796862
1446,0.930982745047666
1447,0.931281386015772
1448,0.931580678098036
1449,0.931880621692594
1450,0.932181217198845
1451,0.932482465017457
1452,0.932784365550353
1453,0.933086919200711
1454,0.933390126372949
1455,0.933693987472735
1456,0.933998502906964
1457,0.934303673083763
1458,0.934609498412483
1459,0.934915979236996
1460,0.935223115634722
1461,0.93553090761521
1462,0.935839355186615
1463,0.936148458355729
1464,0.936458217127973
1465,0.936768631507417
1466,0.937079701496795
1467,0.937391427101845
1468,0.937703808344587
1469,0.938016845250721
1470,0.93833053784536
1471,0.938644886153039
1472,0.938959890197725
1473,0.939275550002825
1474,0.939591865591199
1475,0.939908836985167
1476,0.940226464206518
1477,0.940544747276523
1478,0.940863686215939
1479,0.941183281045019
1480,0.941503531783526
1481,0.941824438450733
1482,0.942146001065439
1483,0.942468219645972
1484,0.942791094210202
1485,0.943114624775544
1486,0.943438811358967
1487,0.943763653977008
1488,0.944089152645769
1489,0.944415307380936
1490,0.944742118197774
1491,0.945069585111148
1492,0.945397708135516
1493,0.945726487284951
1494,0.946055922573132
1495,0.946386014013364
1496,0.946716761618578
1497,0.947048165401339
1498,0.947380225373853
1499,0.947712941547973
1500,0.948046313935205
1501,0.948380342546712
1502,0.948715027393328
1503,0.949050368485554
1504,0.94938636583357
1505,0.949723019447238
1506,0.950060329336111
1507,0.950398295509433
1508,0.95073691797615
1509,0.951076196744912
1510,0.951416131824083
1511,0.951756723221738
1512,0.952097970945676
1513,0.952439875003421
1514,0.952782435402226
1515,0.953125652149083
1516,0.953469525250723
1517,0.953814054713625
1518,0.954159240544012
1519,0.954505082747867
1520,0.95485158133093
1521,0.955198736298705
1522,0.955546547656462
1523,0.955895015409248
1524,0.956244139561881
1525,0.956593920118962
1526,0.956944357084873
1527,0.957295450463792
1528,0.957647200259682
1529,0.957999606476307
1530,0.958352669117229
1531,0.958706388185815
1532,0.959060763685239
1533,0.959415795618483
1534,0.959771483988352
1535,0.960127828797461
1536,0.960484830048249
1537,0.960842487742984
1538,0.961200801883759
1539,0.961559772472496
1540,0.96191939951096
1541,0.962279683000745
1542,0.962640622943293
1543,0.963002219339886
1544,0.963364472191656
1545,0.963727381499583
1546,0.964090947264502
